title,id_number,relative_url,mp4-low,mp4,mp4-low-ios,youtube_url,translated_description
Addition and subtraction,arith-review-add-subtract,/video/basic-addition,https://cdn.kastatic.org/KA-youtube-converted/AuX7nPBqDts.mp4-low/AuX7nPBqDts-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/AuX7nPBqDts.mp4/AuX7nPBqDts.mp4,https://cdn.kastatic.org/KA-youtube-converted/AuX7nPBqDts.mp4-low-ios/AuX7nPBqDts-low-ios.mp4,http://www.youtube.com/watch?v=AuX7nPBqDts&feature=youtube_gdata_player,Introduction to addition. Learn multiple visual ways to represent addition.
Addition and subtraction,arith-review-add-subtract,/video/basic-subtraction,https://cdn.kastatic.org/KA-youtube-converted/aNqG4ChKShI.mp4-low/aNqG4ChKShI-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/aNqG4ChKShI.mp4/aNqG4ChKShI.mp4,https://cdn.kastatic.org/KA-youtube-converted/aNqG4ChKShI.mp4-low-ios/aNqG4ChKShI-low-ios.mp4,http://www.youtube.com/watch?v=aNqG4ChKShI&feature=youtube_gdata_player,Introduction to subtraction.
Addition and subtraction,arith-review-add-subtract,/video/adding-within-20-example,https://cdn.kastatic.org/KA-youtube-converted/AK0NZITv5Ns.mp4-low/AK0NZITv5Ns-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/AK0NZITv5Ns.mp4/AK0NZITv5Ns.mp4,https://cdn.kastatic.org/KA-youtube-converted/AK0NZITv5Ns.mp4-low-ios/AK0NZITv5Ns-low-ios.mp4,http://www.youtube.com/watch?v=AK0NZITv5Ns&feature=youtube_gdata_player,Sal adds 8 + 7 by making a group of ten.
Addition and subtraction,arith-review-add-subtract,/video/subtracting-within-20,https://cdn.kastatic.org/KA-youtube-converted/9McJ3GobPaY.mp4-low/9McJ3GobPaY-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/9McJ3GobPaY.mp4/9McJ3GobPaY.mp4,https://cdn.kastatic.org/KA-youtube-converted/9McJ3GobPaY.mp4-low-ios/9McJ3GobPaY-low-ios.mp4,http://www.youtube.com/watch?v=9McJ3GobPaY&feature=youtube_gdata_player,Sal subtracts 14 - 6 by first thinking about subtracting 2 and 4.
Addition and subtraction,arith-review-add-subtract,/video/addition-using-groups-of-10-intro,https://cdn.kastatic.org/KA-youtube-converted/Q35CH9B3tvc.mp4-low/Q35CH9B3tvc-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/Q35CH9B3tvc.mp4/Q35CH9B3tvc.mp4,https://cdn.kastatic.org/KA-youtube-converted/Q35CH9B3tvc.mp4-low-ios/Q35CH9B3tvc-low-ios.mp4,http://www.youtube.com/watch?v=Q35CH9B3tvc&feature=youtube_gdata_player,Sal adds 53+17 by breaking apart the numbers and making a group of 10.
Addition and subtraction,arith-review-add-subtract,/video/adding-by-getting-to-group-of-10-first,https://cdn.kastatic.org/KA-youtube-converted/DzJvR56Suss.mp4-low/DzJvR56Suss-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/DzJvR56Suss.mp4/DzJvR56Suss.mp4,https://cdn.kastatic.org/KA-youtube-converted/DzJvR56Suss.mp4-low-ios/DzJvR56Suss-low-ios.mp4,http://www.youtube.com/watch?v=DzJvR56Suss&feature=youtube_gdata_player,Sal adds 5+68 by breaking the 5 into a 2 and a 3.
Addition and subtraction,arith-review-add-subtract,/video/example-exercises-on-ways-to-add-two-digit-numbers,https://cdn.kastatic.org/KA-youtube-converted/kMHFY6ZrKbU.mp4-low/kMHFY6ZrKbU-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/kMHFY6ZrKbU.mp4/kMHFY6ZrKbU.mp4,https://cdn.kastatic.org/KA-youtube-converted/kMHFY6ZrKbU.mp4-low-ios/kMHFY6ZrKbU-low-ios.mp4,http://www.youtube.com/watch?v=kMHFY6ZrKbU&feature=youtube_gdata_player,Sal goes through multiple strategies for adding 2-digit numbers.
Addition and subtraction,arith-review-add-subtract,/video/correct-number-lines-for-addition-and-subtraction,https://cdn.kastatic.org/KA-youtube-converted/I5xcZgyY4ag.mp4-low/I5xcZgyY4ag-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/I5xcZgyY4ag.mp4/I5xcZgyY4ag.mp4,https://cdn.kastatic.org/KA-youtube-converted/I5xcZgyY4ag.mp4-low-ios/I5xcZgyY4ag-low-ios.mp4,http://www.youtube.com/watch?v=I5xcZgyY4ag&feature=youtube_gdata_player,Sal figures out which number line matches up with a 2-digit addition or subtraction problem.
Addition and subtraction,arith-review-add-subtract,/video/adding-two-digit-numbers-without-regrouping,https://cdn.kastatic.org/KA-youtube-converted/K5rmfHlHy20.mp4-low/K5rmfHlHy20-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/K5rmfHlHy20.mp4/K5rmfHlHy20.mp4,https://cdn.kastatic.org/KA-youtube-converted/K5rmfHlHy20.mp4-low-ios/K5rmfHlHy20-low-ios.mp4,http://www.youtube.com/watch?v=K5rmfHlHy20&feature=youtube_gdata_player,Sal adds 23 + 45 thinking about place value.
Addition and subtraction,arith-review-add-subtract,/video/addition-with-regrouping,https://cdn.kastatic.org/KA-youtube-converted/8mcTsyV56jI.mp4-low/8mcTsyV56jI-low.mp4,https://cdn.kastatic.org/KA-youtube-converted/8mcTsyV56jI.mp4/8mcTsyV56jI.mp4,https://cdn.kastatic.org/KA-youtube-converted/8mcTsyV56jI.mp4-low-ios/8mcTsyV56jI-low-ios.mp4,http://www.youtube.com/watch?v=8mcTsyV56jI&feature=youtube_gdata_player,Sal adds 35 + 27 thinking about place value.
