title,subject,interal_id,url,id_number,description
Addition and subtraction,Arithmetic,x352f9bcb,https://www.khanacademy.org/math/arithmetic/arith-review-add-subtract,arith-review-add-subtract,In this topic  we will add and subtract whole numbers. The topic starts with 1+1=2 and goes through adding and subtracting within 1000.  We will cover regrouping  borrowing  and word problems.
Multiplication and division,Arithmetic,x85580c81,https://www.khanacademy.org/math/arithmetic/arith-review-multiply-divide,arith-review-multiply-divide,In this topic  we will multiply and divide whole numbers. The topic starts with 1-digit multiplication and division and goes through multi-digit problems.  We will cover regrouping  remainders  and word problems.
Negative numbers,Arithmetic,x518bed67,https://www.khanacademy.org/math/arithmetic/arith-review-negative-numbers,arith-review-negative-numbers,Learn about numbers below 0 and how they relate to positive numbers.  Add  subtract  multiply and divide negative numbers.
Fractions,Arithmetic,x4e0ba0da,https://www.khanacademy.org/math/arithmetic/fraction-arithmetic,fraction-arithmetic,In this topic  we will explore fractions conceptually and add  subtract  multiply  and divide fractions.
Decimals,Arithmetic,xa869475e,https://www.khanacademy.org/math/arithmetic/arith-decimals,arith-decimals,In this topic  we will learn what a decimal is and how to show it visually and on a number line.  We will also add  subtract  multiply  and divide with decimals.
Arithmetic properties,Pre-algebra,x16b067c9,https://www.khanacademy.org/math/pre-algebra/pre-algebra-arith-prop,pre-algebra-arith-prop,This tutorial will help us make sure we can go deep on arithmetic. We'll explore various ways to represent whole numbers  place value  order of operations  rounding and various other properties of arithmetic.
Factors and multiples,Pre-algebra,xa9d6fdff,https://www.khanacademy.org/math/pre-algebra/pre-algebra-factors-multiples,pre-algebra-factors-multiples,Understanding and finding factors and multiples. After these videos  you'll be ready for fractions.
Reading and interpreting data,Pre-algebra,x1f72b5ec,https://www.khanacademy.org/math/pre-algebra/pre-algebra-math-reasoning,pre-algebra-math-reasoning,This topic is less about statistics and more about interpreting data--whether it is presented as a table  pictograph  bar graph or line graph.  Good for someone new to these ideas.  For a student in high school or college looking to learn statistics  it might make sense to skip (although it might not hurt either).
Measurement,Pre-algebra,xcaacb86d,https://www.khanacademy.org/math/pre-algebra/pre-algebra-measurement,pre-algebra-measurement,From length to area to volume to time  thinking about how we measure things.
Fractions,Pre-algebra,x1d64bc3f,https://www.khanacademy.org/math/pre-algebra/pre-algebra-fractions,pre-algebra-fractions,Understanding fractions conceptually  using operations with fractions  and converting fractions.
Decimals,Pre-algebra,xcd755b70,https://www.khanacademy.org/math/pre-algebra/pre-algebra-decimals,pre-algebra-decimals,Understanding decimals conceptually  using operations with decimals  rounding and estimating with decimals  and converting decimals.
Negative numbers and coordinate plane,Pre-algebra,x4ba15d90,https://www.khanacademy.org/math/pre-algebra/pre-algebra-negative-numbers,pre-algebra-negative-numbers,Extending our understanding of numbers below 0.  Thinking about "absolute" distance from 0.  We will also look at all 4 quadrants on the coordinate plane.
Ratios rates proportions,Pre-algebra,x17923675,https://www.khanacademy.org/math/pre-algebra/pre-algebra-ratios-rates,pre-algebra-ratios-rates,Learn all about proportional relationships. How are they connected to ratios and rates? What do their graphs look like? What types of word problems can we solve with proportions?
Equations expressions and inequalities,Pre-algebra,x04908aa2,https://www.khanacademy.org/math/pre-algebra/pre-algebra-equations-expressions,pre-algebra-equations-expressions,In this topic  we will look at 1- and 2-step equations  as well as expressions and inequalities.
Exponents radicals and scientific notation,Pre-algebra,x2251cb4b,https://www.khanacademy.org/math/pre-algebra/pre-algebra-exponents-radicals,pre-algebra-exponents-radicals,Understanding and solving exponents  radicals  and scientific notation without algebra.
Counting,Early math,x310ffe65,https://www.khanacademy.org/math/early-math/cc-early-math-counting-topic,cc-early-math-counting-topic,Learn how to count. Say how many objects you see.
Addition and subtraction intro,Early math,xd0ae8a03,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-basics,cc-early-math-add-sub-basics,Learn the basics of adding and subtracting.
Place value (tens and hundreds),Early math,x314bd06e,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic,cc-early-math-place-value-topic,Learn about tens and hundreds. Compare 2-digit and 3-digit numbers.
Addition and subtraction within 20,Early math,xa2993d94,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-20,cc-early-math-add-sub-20,Learn to add and subtract numbers that are 20 or less.
Addition and subtraction within 100,Early math,x2a262576,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-100,cc-early-math-add-sub-100,Learn to add and subtract two-digit numbers within 100.
Addition and subtraction within 1000,Early math,x4f9f5221,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-1000,cc-early-math-add-sub-1000,Learn to add and subtract two- and three-digit numbers within 1000.
Measurement and data,Early math,x853bca69,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic,cc-early-math-measure-data-topic,Learn how to measure length  tell time  count money  and make graphs.
Geometry,Early math,x54b9a662,https://www.khanacademy.org/math/early-math/cc-early-math-geometry-topic,cc-early-math-geometry-topic,Learn about triangles  circles  rectangles  and other shapes.
Introduction to algebra,Algebra I,x73f542cc,https://www.khanacademy.org/math/algebra/introduction-to-algebra,introduction-to-algebra,This topic is an overview of the fundamental ideas and tools of algebra.
One-variable linear equations,Algebra I,x86a3d4b8,https://www.khanacademy.org/math/algebra/one-variable-linear-equations,one-variable-linear-equations,Learn how to solve linear equations that contain a single variable. For example  solve 2(x+3)=(4x-1)/2+7.
One-variable linear inequalities,Algebra I,x468c6c9a,https://www.khanacademy.org/math/algebra/one-variable-linear-inequalities,one-variable-linear-inequalities,Learn how to solve linear inequalities with a single variable. For example  solve -3(x+1)>2x-7. Learn how to solve compound inequalities. For example  solve 2x+1>3 AND -x-5<4.
Units of measurement in modeling,Algebra I,x5fd568c4,https://www.khanacademy.org/math/algebra/units-in-modeling,units-in-modeling,Modeling is an amazing world  full of challenges. In this topic  we will start to think about some general modeling concerns  before we dive into modeling situations with different kinds of functions and equations throughout the Algebra curriculum.
Two-variable linear equations,Algebra I,x77a78bee,https://www.khanacademy.org/math/algebra/two-var-linear-equations,two-var-linear-equations,Learn about linear equations that contain two variables  and how these can be represented by graphical lines and tables of values.
Functions,Algebra I,xe8002e2d,https://www.khanacademy.org/math/algebra/algebra-functions,algebra-functions,Functions are mathematical entities that assign unique outputs to given inputs. Sounds simple? Think again!  In this topic you will evaluate  graph  analyze  and create various types of functions.
Linear equations and functions word problems,Algebra I,xc02c967b,https://www.khanacademy.org/math/algebra/linear-word-problems,linear-word-problems,Solve various word problems that involve real world relationships that can be represented by linear equations or functions.
Sequences,Algebra I,xe62bd906,https://www.khanacademy.org/math/algebra/sequences,sequences,Learn about the various ways in which we can define sequences; Use and construct arithmetic and geometric sequences.
Systems of linear equations,Algebra I,xd6035bab,https://www.khanacademy.org/math/algebra/systems-of-linear-equations,systems-of-linear-equations,Learn how to interpret solutions to systems of linear equations and solve them.
